"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 09:57:18 UTC 2023","Mon Dec 25 09:57:21 UTC 2023","3075","","Login","","","","""before each"" hook for Login",""
"passed","Mon Dec 25 09:56:39 UTC 2023","Mon Dec 25 09:56:41 UTC 2023","1041","","Drag","","","","""before each"" hook for Drag",""
"passed","Mon Dec 25 09:56:39 UTC 2023","Mon Dec 25 09:57:15 UTC 2023","35292","","Drag","","","","Drag and drop",""
"passed","Mon Dec 25 09:56:44 UTC 2023","Mon Dec 25 09:56:57 UTC 2023","13083","","Login","","","","Registration with valid credentials",""
"passed","Mon Dec 25 09:57:26 UTC 2023","Mon Dec 25 09:57:26 UTC 2023","103","","Login","","","","""after each"" hook for Login",""
"passed","Mon Dec 25 09:57:09 UTC 2023","Mon Dec 25 09:57:18 UTC 2023","9063","","Login","","","","Login with valid credentials",""
"passed","Mon Dec 25 09:57:15 UTC 2023","Mon Dec 25 09:57:15 UTC 2023","81","","Drag","","","","""after each"" hook for Drag",""
"passed","Mon Dec 25 09:56:57 UTC 2023","Mon Dec 25 09:57:08 UTC 2023","11305","","Login","","","","Registration with invalid credentials",""
"passed","Mon Dec 25 09:57:18 UTC 2023","Mon Dec 25 09:57:26 UTC 2023","8070","","Login","","","","Login with invalid credentials",""
